#node,stdev,outlier_subtype,outlier_distance
1,0.9518480268828505,T-ALL,-2.032975620772595
2,0.47695800822833734,T-ALL,-1.9372799087678048
3,0.4833460433409453,T-ALL,-2.09184016419777
4,3.30721663639613,T-ALL,-2.1955594381360237
5,3.30721663639613,T-ALL,-2.1955594381360237
6,1.084476270748461,T-ALL,-2.1821514807020574
7,7.345688353875005,T-ALL,-2.1883814257997147
8,0.8353421268974477,TCF3-PBX1,1.659973946024754
9,2.667007444921727,T-ALL,-2.4787421119706274
10,1.6682231672545136,TCF3-PBX1,1.8514188392929736
11,0.16702282736176624,ETV6_RUNX1,-1.8909940135462389
12,2.0276364083075524,T-ALL,-1.6417903474676592
13,0.43833049223346615,Hypo,2.200478140938756
14,0.8389534181411837,Hypo,2.0218353367280955
15,0.5923049579350909,ETV6_RUNX1,-2.040201280006441
16,0.0,,0.0
17,0.0,,0.0
18,8.943929648140413e-05,ETV6_RUNX1,2.798918855372529
19,1.346428189392716,Hypo,1.7171543333794883
20,0.742264170233158,T-ALL,-2.331027464417646
21,0.5431104250188944,T-ALL,-2.557003946207969
22,1.0822592910785835,Hypo,1.818748688870108
23,4.229852332263117,T-ALL,-2.188761085751643
24,1.0822592910785835,Hypo,1.818748688870108
25,0.5431104250188944,T-ALL,-2.557003946207969
26,1.346428189392716,Hypo,1.7171543333794883
27,1.346428189392716,Hypo,1.7171543333794883
28,1.346428189392716,Hypo,1.7171543333794883
29,1.2964699543115104,T-ALL,-1.722171546854214
30,0.4133207180434574,T-ALL,-2.3890842072334193
31,1.452697531535461,Hypo,1.941947426833959
32,1.452697531535461,Hypo,1.941947426833959
33,1.452697531535461,Hypo,1.941947426833959
34,1.452697531535461,Hypo,1.941947426833959
35,1.452697531535461,Hypo,1.941947426833959
36,1.576663215730696,Hypo,2.538906910108995
37,2.8818779288485348,T-ALL,-2.2626449469144205
38,1.0095171224978843,TCF3-PBX1,1.9511665093170596
39,0.5623207956719207,Ph,1.7575338506775475
40,0.7621573933577752,MLL,-1.9767430539456872
41,1.1496085127107845,MLL,-1.9537192953079494
42,0.6511119263406723,T-ALL,-2.182446072909386
43,1.1808808494559628,Hypo,1.7973628197215372
44,1.239164436095725,T-ALL,-1.7366568180790058
45,1.4791319539381391,Hypo,1.6770650471010953
46,0.0,,0.0
