#edge,stdev,outlier_subtype,outlier_distance
hsa:1855|hsa:1856|hsa:1857==>hsa:5879|hsa:5880|hsa:5881,0.007302593394521849,Ph,-2.5638380305703117
hsa:11211|hsa:2535|hsa:7855|hsa:7976|hsa:8321|hsa:8322|hsa:8323|hsa:8324|hsa:8325|hsa:8326==>hsa:23236|hsa:5330|hsa:5331|hsa:5332,0.02829495345139001,TCF3-PBX1,-2.7962289035955226
hsa:11211|hsa:2535|hsa:7855|hsa:7976|hsa:8321|hsa:8322|hsa:8323|hsa:8324|hsa:8325|hsa:8326==>hsa:1855|hsa:1856|hsa:1857,0.0382940374945324,T-ALL,-2.241880780498125
hsa:51701==>hsa:51176|hsa:6932|hsa:6934|hsa:83439,0.01773395581064411,Ph,-2.8577380332470406
hsa:6885==>hsa:51701,0.04834129086115149,T-ALL,-2.188494861888069
hsa:51176|hsa:6932|hsa:6934|hsa:83439==>hsa:8061,0.16937398654023175,Hypo,-1.753708894347314
hsa:51176|hsa:6932|hsa:6934|hsa:83439==>hsa:4316,0.24947964174583998,MLL,-2.8286316072191773
hsa:51176|hsa:6932|hsa:6934|hsa:83439==>hsa:5467,0.08686706043755149,MLL,-2.476638811647088
hsa:51176|hsa:6932|hsa:6934|hsa:83439==>hsa:595|hsa:894|hsa:896,0.05290943570028362,Hyperdiploid,-1.914384431801016
hsa:51176|hsa:6932|hsa:6934|hsa:83439==>hsa:3725,0.18402194243622144,MLL,1.8427902066671409
hsa:51176|hsa:6932|hsa:6934|hsa:83439==>hsa:4609,0.18415670396425865,Hypo,2.2319795649675287
hsa:4089==>hsa:51176|hsa:6932|hsa:6934|hsa:83439,0.05748708813219161,TCF3-PBX1,1.6710071157620703
hsa:1499==>hsa:51176|hsa:6932|hsa:6934|hsa:83439,0.050258240608493494,TCF3-PBX1,1.8869907140622473
hsa:5663==>hsa:1499,0.041891938598625646,TCF3-PBX1,1.6872617747268845
hsa:64840==>hsa:51384|hsa:54361|hsa:7471|hsa:7472|hsa:7473|hsa:7474|hsa:7475|hsa:7476|hsa:7477|hsa:7478|hsa:7479|hsa:7480|hsa:7481|hsa:7482|hsa:7483|hsa:7484|hsa:80326|hsa:81029|hsa:89780,0.06495771971027911,Ph,1.963423293934037
