#node,stdev,outlier_subtype,outlier_distance
1,0.06495771971027883,Ph,1.9634232939340284
2,0.23351249137946536,TCF3-PBX1,-2.7120804669824947
3,0.47020740172205294,TCF3-PBX1,2.2770923272270767
4,5.425536262810247,TCF3-PBX1,2.115446832172692
5,0.4163788462358456,TCF3-PBX1,1.8844637291897655
6,7.545913245241094,TCF3-PBX1,1.9925315436337587
7,0.4870031881749115,T-ALL,-2.0139806551897195
8,0.4870031881749115,T-ALL,-2.0139806551897195
9,2.198817081585228,TCF3-PBX1,2.23967796498846
10,2.6764523020608797,T-ALL,-1.7427162490716297
11,0.26344487285617085,Hypo,-2.4361099144148084
12,0.26344487285617085,Hypo,-2.4361099144148084
13,0.28443492372672613,TCF3-PBX1,2.524825915388066
14,0.5635844988836716,Hypo,1.8285903333182079
15,0.25612085196242645,TCF3-PBX1,2.3548596767714414
16,0.5179216435687736,MLL,1.839814017877531
17,0.09193774782016843,TCF3-PBX1,-2.798959144652328
18,0.09215477793962751,TCF3-PBX1,-2.79344351342601
19,0.8472365377662386,Ph,-1.9438825639832547
20,0.8472365377662386,Ph,-1.9438825639832547
21,0.5889160455409167,TCF3-PBX1,2.084003046998084
22,1.969056894696127,Hyperdiploid,-2.1957113555119254
23,0.5190085018846325,Hypo,2.060130028925175
24,0.37358257525697414,TCF3-PBX1,2.1333810856991295
25,0.46206679952282365,TCF3-PBX1,2.0716142506996653
26,0.4408123089345442,T-ALL,-1.9363116290083975
27,0.405501786496983,TCF3-PBX1,1.809981339433945
28,0.5977535590771057,T-ALL,-1.6543445343263508
29,0.6334359839075924,Hypo,-1.743387695134639
30,1.2192259017894285,MLL,1.7659932121738475
31,0.09473601319369902,Ph,1.9699178841851341
32,0.016948950382286956,Hypo,2.4003649635545834
33,1.0961110859977343,Hyperdiploid,-2.239763178533416
34,0.7469765724306245,Hypo,1.5363931199773382
35,0.3121707438110608,Hyperdiploid,-2.4045233200573155
36,1.0685522362536581,Ph,2.7321941479458225
37,0.44219496316790086,TCF3-PBX1,1.7667595331022035
38,0.44457262710603207,TCF3-PBX1,1.850853943384485
39,0.0,,0.0
40,0.9394349351414414,TCF3-PBX1,1.9070164056264332
41,0.504377697401178,Hypo,1.7541992926310002
42,0.03663876192320511,T-ALL,-1.9507891710372376
43,0.23956376674927707,TCF3-PBX1,1.9267006564884033
44,0.15461364625123505,T-ALL,-1.8296304381417046
45,0.17802874090598797,MLL,1.9826002899145443
46,0.15461364625123505,T-ALL,-1.8296304381417046
47,0.437299834732208,T-ALL,-2.0391744881695217
48,1.5746719774943628e-05,Ph,2.8577380332470415
49,1.2957192423281474,Ph,-2.0056176125500462
50,2.769889425034943,Hypo,1.976331840971452
51,2.862517344480739,MLL,1.8633105729882928
52,0.9959899657041057,Hyperdiploid,-2.158314247487073
53,1.4260052521424875,TCF3-PBX1,2.347964821052504
54,3.428954452124889,MLL,-2.799910478265612
55,0.9245454419608216,TCF3-PBX1,1.896719281799215
56,2.826162684279704,Hypo,-1.541885937507739
