#node,stdev,outlier_subtype,outlier_distance
1,1.5412799562236397,Hypo,2.856340817398659
2,1.5104184856322815,Hypo,2.6486230172110163
3,2.138114412287477,Hypo,1.9996888108959638
4,3.7553153586165235,TCF3-PBX1,2.503383076762437
5,0.0,,0.0
6,1.2293756351317053,TCF3-PBX1,1.9105148306292166
7,0.0,,0.0
8,0.7122430438211613,T-ALL,-2.05285917405716
9,3.20121522223019,TCF3-PBX1,2.577936297240702
10,3.20121522223019,TCF3-PBX1,2.577936297240702
11,3.20121522223019,TCF3-PBX1,2.577936297240702
12,0.6813341504113118,Ph,-1.8014536860154557
13,0.3416151796298739,Ph,-1.9846800545219192
14,0.3453904245834836,MLL,1.7204028379861498
15,1.4803801029922572,ETV6_RUNX1,-2.034266229269734
16,0.2791862813595752,ETV6_RUNX1,-2.418367395102826
17,1.1138397868730656,TCF3-PBX1,2.541486217343454
18,1.013505328235302,Hyperdiploid,2.817539537069272
19,0.7306702644375533,TCF3-PBX1,2.028033216607394
20,4.750806521645139,TCF3-PBX1,2.0962383694838533
21,0.7815569828702899,TCF3-PBX1,1.8394345707892246
22,0.8926642636517711,TCF3-PBX1,2.2351003782444008
23,1.2356655424710854,Ph,-1.899440802813292
24,1.4385139989133093,Ph,-1.7864633818472857
25,0.68359293369947,Ph,-1.7248851012626851
26,0.5908057803443065,TCF3-PBX1,1.9380508870434257
27,0.0,,0.0
28,0.0,,0.0
29,0.0,,0.0
30,0.13735394600023962,Hypo,-2.049028621763631
31,0.23574973299112723,Hypo,-1.9032075284834085
32,0.5879820493476393,TCF3-PBX1,2.394392371153746
33,6.569027920998896,TCF3-PBX1,2.160241995314198
34,3.752921436700594,Hypo,2.15199790426921
35,2.3157836227266357,Hypo,1.839423823911159
36,2.3157836227266357,Hypo,1.839423823911159
37,2.3157836227266357,Hypo,1.839423823911159
38,2.4935850518963694,Hypo,1.725600956232723
39,0.09874252616553299,Hypo,-1.7955968606957606
40,0.15357864926266687,T-ALL,1.8108426073667203
41,0.07514821935891978,T-ALL,1.5042117337929453
42,0.07514821935891978,T-ALL,1.5042117337929453
43,0.16468889908440318,Hypo,-2.1941521378123165
44,0.16468889908440318,Hypo,-2.1941521378123165
45,0.09492260222294556,T-ALL,-2.0107943615476938
46,0.22459459450442107,TCF3-PBX1,2.2283202515966245
47,0.7329324319561831,TCF3-PBX1,2.0705085496303837
48,0.33144415876072225,Hyperdiploid,-2.0824231827789657
49,0.4620638750423626,TCF3-PBX1,1.8833524547954528
50,0.0686836799247099,T-ALL,1.8356859563272618
51,1.676774005751776,Hypo,2.2761394719313133
52,1.9574543416041192,Ph,-2.474853298168566
53,2.183571042567739,TCF3-PBX1,2.3385116935155814
54,0.9965388579128692,T-ALL,-2.4003280430794884
55,0.0,,0.0
56,0.0,,0.0
57,0.0,,0.0
